Date;Next_Trading_Day;Index_Symbol;Internal_Key;ISIN;Company_Name;RIC_Code;BBG_Code;SEDOL;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Shares;Free_Float;Close_Local;Close_EUR;Close_USD;Close_GBP;Close_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Event_next_trading_day;New_Internal_Key;New_ISIN;New_Company_Name;New_RIC_Code;New_BBG_Code;New_SEDOL;New_Country;New_Currency;New_Exchange;New_Industry;New_Supersector;New_Sector;New_Subsector;New_Shares;New_Free_Float;Close_adjusted_local;Close_adjusted_EUR;Close_adjusted_USD;Close_adjusted_GBP;Close_adjusted_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;
2024-03-25;2024-03-26;SDGP;643532;HK0006000050;POWER ASSETS HOLDINGS LTD;0006.HK;6 HK Equity;6435327;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;;;46.85;5.5271756;5.9900766;4.7373422;907.0473771;;;;;;;;;;;0;643532;HK0006000050;POWER ASSETS HOLDINGS LTD;0006.HK;6 HK Equity;6435327;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;;;46.85;5.5271756;5.9900766;4.7373422;907.0473771;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;654379;JP3386030005;JFE Holdings Inc.;5411.T;5411 JT Equity;6543792;JP;JPY;Tokyo Stock Exchange;55;5510;551020;55102010;;;2610;15.904296;17.2362808;13.6315721;2610.003918;;;;;;;;;;;0;654379;JP3386030005;JFE Holdings Inc.;5411.T;5411 JT Equity;6543792;JP;JPY;Tokyo Stock Exchange;55;5510;551020;55102010;;;2610;15.904296;17.2362808;13.6315721;2610.003918;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;051152;GB0005603997;LEGAL & GENERAL GRP;LGEN.L;LGEN LN Equity;0560399;GB;GBP;London Stock Exchange;30;3030;303010;30301010;;;2.543;2.9669822;3.215467;2.5430004;486.9021028;;;;;;;;;;;0;051152;GB0005603997;LEGAL & GENERAL GRP;LGEN.L;LGEN LN Equity;0560399;GB;GBP;London Stock Exchange;30;3030;303010;30301010;;;2.543;2.9669822;3.215467;2.5430004;486.9021028;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;642053;HK0012000102;Henderson Land Development Co.;0012.HK;12 HK Equity;6420538;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;;;22.75;2.683954;2.9087351;2.300417;440.4552365;;;;;;;;;;;0;642053;HK0012000102;Henderson Land Development Co.;0012.HK;12 HK Equity;6420538;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;;;22.75;2.683954;2.9087351;2.300417;440.4552365;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;691678;SG1M31001969;United Overseas Bank Ltd.;UOBH.SI;UOB SP Equity;6916781;SG;SGD;Singapore Exchange;30;3010;301010;30101010;;;28.72;19.6867444;21.3355092;16.8735086;3230.7296102;;;;;;;;;;;0;691678;SG1M31001969;United Overseas Bank Ltd.;UOBH.SI;UOB SP Equity;6916781;SG;SGD;Singapore Exchange;30;3010;301010;30101010;;;28.72;19.6867444;21.3355092;16.8735086;3230.7296102;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;US506X;US1746101054;CITIZENS FINANCIAL GROUP;CFG.N;CFG UN Equity;BQRX1X3;US;USD;NYSE;30;3010;301010;30101010;;;35.29;32.5628629;35.2900027;27.9096298;5343.7888575;;;;;;;;;;;0;US506X;US1746101054;CITIZENS FINANCIAL GROUP;CFG.N;CFG UN Equity;BQRX1X3;US;USD;NYSE;30;3010;301010;30101010;;;35.29;32.5628629;35.2900027;27.9096298;5343.7888575;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;CN1156;KYG8187G1055;SITC Int. Hold.;1308.HK;1308 HK Equity;B61X7R5;HK;HKD;Stock Exchange of Hong Kong;50;5020;502060;50206030;;;13.48;1.5903165;1.7235055;1.3630603;260.9818313;;;;;;;;;;;0;CN1156;KYG8187G1055;SITC Int. Hold.;1308.HK;1308 HK Equity;B61X7R5;HK;HKD;Stock Exchange of Hong Kong;50;5020;502060;50206030;;;13.48;1.5903165;1.7235055;1.3630603;260.9818313;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;P;US20825C1045;ConocoPhillips;COP.N;COP UN Equity;2685717;US;USD;NYSE;60;6010;601010;60101010;;;126.23;116.4752107;126.2300096;99.8309031;19114.3799311;;;;;;;;;;;0;P;US20825C1045;ConocoPhillips;COP.N;COP UN Equity;2685717;US;USD;NYSE;60;6010;601010;60101010;;;126.23;116.4752107;126.2300096;99.8309031;19114.3799311;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;670262;AU000000JBH7;JB Hi-Fi Ltd.;JBH.AX;JBH AU Equity;6702623;AU;AUD;Australian Securities Exchange;40;4040;404010;40401030;;;62.44;37.6655189;40.8200061;32.2831162;6181.1696603;;;;;;;;;;;0;670262;AU000000JBH7;JB Hi-Fi Ltd.;JBH.AX;JBH AU Equity;6702623;AU;AUD;Australian Securities Exchange;40;4040;404010;40401030;;;62.44;37.6655189;40.8200061;32.2831162;6181.1696603;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;US20RF;NL0009434992;LYONDELLBASELL INDUSTRIES;LYB.N;LYB UN Equity;B3SPXZ3;US;USD;NYSE;55;5520;552010;55201020;;;100.49;92.7243438;100.4900076;79.4740351;15216.6999793;;;;;;;;;;;0;US20RF;NL0009434992;LYONDELLBASELL INDUSTRIES;LYB.N;LYB UN Equity;B3SPXZ3;US;USD;NYSE;55;5520;552010;55201020;;;100.49;92.7243438;100.4900076;79.4740351;15216.6999793;;;;;;;;;;;
