,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
94,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,KMB,US4943681035,2491839,KMB.N,,Kimberly-Clark Corp.,US,USD,New York Stock Exchange,3767,,,1.0,63317,108.99,0.9152062,6900920,6315765.0,0.62983
95,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,MRK,US58933Y1055,2778844,MRK.N,,Merck & Co. Inc.,US,USD,New York Stock Exchange,4577,,,1.0,114119,58.73,0.9152062,6702209,6133903.0,0.61169
96,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,LLY,US5324571083,2516152,LLY.N,,Eli Lilly & Co.,US,USD,New York Stock Exchange,4577,,,1.0,85425,76.36,0.9152062,6523053,5969939.0,0.59534
97,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,LK,US5398301094,2522096,LMT.N,,Lockheed Martin Corp.,US,USD,New York Stock Exchange,2717,,,1.0,31454,202.92,0.9152062,6382646,5841437.0,0.58253
98,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,CAG,US2058871029,2215460,CAG.N,,ConAgra Foods Inc.,US,USD,New York Stock Exchange,3577,,,1.0,174422,35.05,0.9152062,6113491,5595105.0,0.55796
99,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,INTC,US4581401001,2463247,INTC.OQ,,Intel Corp.,US,USD,NASDAQ,9576,,,1.0,195446,31.2,0.9152062,6097915,5580850.0,0.55654
0,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,662460,AU000000NAB4,6624608,NAB.AX,,National Australia Bank Ltd.,AU,AUD,ASX,8355,,,1.0,1050504,28.19,0.6745364,29613708,19975524.0,1.94701
1,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,609128,AU000000BEN6,6091280,BEN.AX,,Bendigo & Adelaide Bank Ltd.,AU,AUD,ASX,8355,,,1.0,3064581,9.63,0.6745364,29511915,19906861.0,1.94031
2,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,606558,AU000000ANZ3,6065586,ANZ.AX,,Australia & New Zealand Bankin,AU,AUD,ASX,8355,,,1.0,1125740,25.87,0.6745364,29122894,19644452.0,1.91474
3,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,499187,CH0011075394,5983816,ZURN.S,,ZURICH INSURANCE GROUP,CH,CHF,SIX Swiss Exchange,8532,,,1.0,94468,226.6,0.9176838,21406449,19644351.0,1.91473
4,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671,,,1.0,11495202,2.48,0.6537658,28508101,18637622.0,1.8166
5,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,080341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,0537,,,1.0,844577,17.05,1.2790179,14400038,18417906.0,1.79519
6,2016-03-21,SDGP,STXG18SD100  P,Price,EUR,2600.04,100,1025960604,394594,609293,NZSKTE0001S6,B0C5VF4,SKT.NZ,,SKY NETWORK TELEVISION,NZ,NZD,NZX,5553,,,1.0,5653676,4.98,0.6006008,28155306,16910100.0,1.64822
