Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;654379;JP3386030005;6543792;5411.T;JFE Holdings Inc.;JP;JPY;Tokyo Stock Exchange;55;5510;551020;55102010;12.1025232;EUR;;;1;848714;10271581;1.02716;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;075478;GB00BM8PJY71;BM8PJY7;NWG.L;NATWEST GROUP;GB;GBP;London Stock Exchange;30;3010;301010;30101010;5.168982;EUR;;;1;1973475;10200857;1.02009;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;486809;DK0010311471;B06JSP1;SYDB.CO;SYDBANK;DK;DKK;NASDAQ  Copenhagen;30;3010;301010;30101010;59.0876972;EUR;;;1;170379;10067303;1.00673;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;BNS;CA0641491075;2076281;BNS.TO;Bank of Nova Scotia;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;43.6100825;EUR;;;1;230655;10058884;1.00589;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;BEL;US92343V1044;2090571;VZ.N;Verizon Communications Inc.;US;USD;NYSE;15;1510;151020;15102015;40.2560358;EUR;;;1;248386;9999036;.9999;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;647453;JP3726800000;6474535;2914.T;Japan Tobacco Inc.;JP;JPY;Tokyo Stock Exchange;45;4510;451030;45103010;24.2362224;EUR;;;1;410658;9952799;.99528;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;400169;BE0974264930;B86S2N0;AGES.BR1;AGEAS;BE;EUR;EURONEXT Brussels;30;3030;303010;30301010;54.2;EUR;;;1;181114;9816379;.98164;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;658508;AU000000SUN6;6585084;SUN.AX;SUNCORP GROUP LTD.;AU;AUD;Australian Securities Exchange;30;3030;303020;30302010;10.8624565;EUR;;;1;883990;9602303;.96023;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;615252;NZCENE0001S6;6152529;CEN.NZ;Contact Energy Ltd.;NZ;NZD;New Zealand Exchange;65;6510;651010;65101010;4.6523866;EUR;;;1;2003625;9321638;.93216;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;664256;JP3381000003;6642569;5401.T;NIPPON STEEL;JP;JPY;Tokyo Stock Exchange;55;5510;551020;55102010;21.2370912;EUR;;;1;435398;9246587;.92466;Y;Y;
