,Date,Next_Trading_Day,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,Close_adjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Index_Close
12,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,407683,IT0000072618,4076836,ISP.MI,,INTESA SANPAOLO,IT,EUR,Milan,8355,,,1,7767625,2.199,2.199,1,17081007,17081007,1.69693,
13,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,461075,DE0008430026,5294121,MUVGn.DE,,MUENCHENER RUECK,DE,EUR,XETRA (DE),8538,,,1,38889,216.6,216.6,1,8423357,8423357,0.83683,
14,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,461785,DE0005552004,4617859,DPWGn.DE,,DEUTSCHE POST,DE,EUR,XETRA (DE),2771,,,1,378109,29.47,29.47,1,11142872,11142872,1.107,
15,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,478165,CH0126881561,B545MG5,SRENH.S,,SWISS REINSURANCE COMPANY,CH,CHF,SIX Swiss Exchange,8538,,,1,105011,100.1,100.1,0.8804755,10511601,9255207,0.91947,
16,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,478511,CH0244767585,BRJL176,UBSG.S,,UBS GROUP,CH,CHF,SIX Swiss Exchange,8355,,,1,1262518,12.225,12.225,0.8804755,15434283,13589508,1.35007,
17,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,479736,FR0010411983,B1LB9P6,SCOR.PA,,SCOR,FR,EUR,EURONEXT (FR),8538,,,1,196029,40,40,1,7841160,7841160,0.77899,
18,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,481334,SE0000148884,4813345,SEBa.ST,,SKANDINAVISKA ENSKILDA BK A,SE,SEK,OMX (SE),8355,,,1,1253773,94.14,94.14,0.0955361,118030190,11276144,1.12024,
19,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,481775,FR0000130809,5966516,SOGN.PA,,GRP SOCIETE GENERALE,FR,EUR,EURONEXT (FR),8355,,,1,542162,27.295,27.295,1,14798312,14798312,1.47016,
20,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,490541,FR0000120271,B15C557,TOTF.PA,,TOTAL,FR,EUR,EURONEXT (FR),537,,,1,173243,51.7,51.7,1,8956663,8956663,0.88981,
21,3/18/2019,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,100,1006580519,361853,491134,FR0013326246,BFYM460,URW.AS,,UNIBAIL-RODAMCO-WESTFIELD,FR,EUR,EURONEXT (NL),8672,,,1,90960,149.34,149.34,1,13583966,13583966,1.34952,
