,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,check,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap
46,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,691678,SG1M31001969,6916781,UOBH.SI,,United Overseas Bank Ltd.,SG,SGD,Singapore Exchange,8355,,,1,597714,,25.38,0.6524436,15169981,9897557,0.0097591,2/28/2019,37913550.53,94783876.33,PASS,0.009811,1,9950388.272
47,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,557955,FI0009007132,5579550,FORTUM.HE,,FORTUM,FI,EUR,OMX (FI),7535,,,1,496120,,19.89,1,9867827,9867827,0.0097297,2/28/2019,30706364.71,76765911.78,PASS,0.009782,1,9920412.002
48,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,STX,IE00B58JVZ52,B58JVZ5,STX.OQ,,Seagate Technology Inc.,US,USD,NASDAQ,9572,,,1,232179,,48.16,0.8820287,11181741,9862616,0.0097246,2/28/2019,144545199.7,361362999.3,PASS,0.009776,1,9915212.037
49,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,725147,IT0003153415,7251470,SRG.MI,,SNAM RETE GAS,IT,EUR,Milan,577,,,1,2164734,,4.456,1,9646055,9646055,0.0095111,2/28/2019,41941488.55,104853721.4,PASS,0.009562,1,9697527.22
50,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,499187,CH0011075394,5983816,ZURN.S,,ZURICH INSURANCE GROUP,CH,CHF,SIX Swiss Exchange,8532,,,1,32014,,339,0.8817176,10852746,9569057,0.0094352,2/28/2019,111227002.5,278067506.3,PASS,0.009486,1,9620139.503
51,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,663376,HK0017000149,6633767,0017.HK,,New World Development Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1,6646265,,12.8,0.1123608,85072192,9558779,0.009425,2/28/2019,18409650.87,46024127.18,PASS,0.009475,1,9609739.573
52,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,774563,FR0000064578,7745638,FDR.PA,,COVIVIO,FR,EUR,EURONEXT (FR),8671,,,1,100915,,94.2,1,9506193,9506193,0.0093732,2/28/2019,12285474.52,30713686.3,PASS,0.009423,1,9556924.24
53,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,217052,CA1360691010,2170525,CM.TO,,Canadian Imperial Bank of Comm,CA,CAD,Toronto Stock Exchange,8355,,,1,124619,,113.69,0.6610697,14167934,9365992,0.0092349,2/28/2019,109858912.2,274647280.5,PASS,0.009284,1,9415913.42
54,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,656835,BMG668971101,6568353,0659.HK,,NWS HOLDINGS,HK,HKD,Hong Kong Stock Exchange,2357,,,1,4777573,,17.3,0.1123608,82652013,9286846,0.0091569,2/28/2019,7860810.633,19652026.58,PASS,0.009206,1,9336384.541
55,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,478165,CH0126881561,B545MG5,SRENH.S,,SWISS REINSURANCE COMPANY,CH,CHF,SIX Swiss Exchange,8538,,,1,105011,,99.82,0.8817176,10482198,9242338,0.009113,2/28/2019,88477999.36,221194998.4,PASS,0.009162,1,9291624.056
56,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,654362,AU000000SYD9,B70DWB2,SYD.AX,,SYDNEY AIRPORT,AU,AUD,ASX,2777,,,1,1969614,,7.46,0.6261938,14693320,9200866,0.0090721,2/28/2019,24780713.22,61951783.05,PASS,0.009120,1,9249922.374
57,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,490541,FR0000120271,B15C557,TOTF.PA,,TOTAL,FR,EUR,EURONEXT (FR),537,,,1,173243,,52.27,1,9055412,9055412,0.0089287,2/28/2019,298689012.3,746722530.8,PASS,0.008976,1,9103711.589
58,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,681042,HK0083000502,6810429,0083.HK,,Sino Land Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1,5438868,,14.66,0.1123608,79733805,8958954,0.0088336,2/28/2019,8218657.665,20546644.16,PASS,0.008881,1,9006747.532
59,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,PPL,US69351T1060,2680905,PPL.N,,PPL Corp.,US,USD,New York Stock Exchange,7535,,,1,310074,,32.72,0.8820287,10145621,8948729,0.0088235,2/28/2019,140228781.3,350571953.3,PASS,0.008871,1,8996449.562
60,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,BNS,CA0641491075,2076281,BNS.TO,,Bank of Nova Scotia,CA,CAD,Toronto Stock Exchange,8355,,,1,183438,,73.7,0.6610697,13519381,8937253,0.0088122,2/28/2019,132468988.5,331172471.3,PASS,0.008859,1,8984928.07
61,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,681182,SG1P66918738,B012899,SPRM.SI,,Singapore Press Holdings Ltd.,SG,SGD,Singapore Exchange,5557,,,1,5552899,,2.45,0.6524436,13604603,8876236,0.008752,2/28/2019,6000010.388,15000025.97,PASS,0.008799,1,8923548.089
62,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,274642,CA56501R1064,2492519,MFC.TO,,Manulife Financial Corp.,CA,CAD,Toronto Stock Exchange,8575,,,1,564366,,23.31,0.6610697,13155371,8696617,0.0085749,2/28/2019,70331365.28,175828413.2,PASS,0.008621,1,8742976.749
63,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,624226,SG1B51001017,6242260,JCYC.SI,,Jardine Cycle & Carriage Ltd.,SG,SGD,Singapore Exchange,5379,,,1,396178,,33.2,0.6524436,13153110,8581662,0.0084616,2/28/2019,8883438.796,22208596.99,PASS,0.008507,1,8627455.954
64,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,401632,DE0008404005,5231485,ALVG.DE,,ALLIANZ,DE,EUR,XETRA (DE),8532,,,1,42345,,200.2,1,8477469,8477469,0.0083588,2/28/2019,210858380.3,527145950.8,PASS,0.008403,1,8522640.97
65,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,SO,US8425871071,2829601,SO.N,,Southern Co.,US,USD,New York Stock Exchange,7535,,,1,185439,,51.78,0.8820287,9602031,8469267,0.0083508,2/28/2019,221059144.8,552647862,PASS,0.008395,1,8514484.162
66,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,461075,DE0008430026,5294121,MUVGn.DE,,MUENCHENER RUECK,DE,EUR,XETRA (DE),8538,,,1,38889,,216.6,1,8423357,8423357,0.0083055,2/28/2019,109899552.6,274748881.5,PASS,0.008350,1,8468296.236
67,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,RKT,US96145D1054,BYR0914,WRK.N,,WESTROCK,US,USD,New York Stock Exchange,2723,,,1,245371,,38.28,0.8820287,9392802,8284721,0.0081688,2/28/2019,92122465.52,230306163.8,PASS,0.008212,1,8328916.777
68,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,SCL.B,CA82028K2002,2801836,SJRb.TO,,Shaw Communications Inc. Cl B,CA,CAD,Toronto Stock Exchange,5553,,,1,446265,,27.91,0.6610697,12455256,8233792,0.0081186,2/28/2019,24337187.56,60842968.9,PASS,0.008162,1,8277732.806
