,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Weightfactor
35,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,222961,CA7669101031,2229610,REI_u.TO,,RIOCAN REIT.TST.,CA,CAD,Toronto Stock Exchange,8672.0,,,1.0,489772.0,28.71,0.7312081,14061354.0,10281776.0,0.0102533,2015-02-27,12446014.15,31115035.375,PASS,0.010363086309705852,1.0,493645
36,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,490541,FR0000120271,B15C557,TOTF.PA,,TOTAL,FR,EUR,EURONEXT (FR),537.0,,,1.0,218598.0,46.95,1.0,10263176.0,10263176.0,0.010234799999999999,2015-02-27,391164438.81,977911097.025,PASS,0.010344388222579798,1.0,220328
37,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,070550,GB00B1Z4ST84,B1Z4ST8,PFG.L,,PROVIDENT FINANCIAL,GB,GBP,LSE,8773.0,,,1.0,267932.0,28.0,1.3666805,7502096.0,10252968.0,0.010224599999999999,2015-02-27,6547225.11,16368062.775,PASS,0.010334079006975163,1.0,270052
38,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,681182,SG1P66918738,B012899,SPRM.SI,,Singapore Press Holdings Ltd.,SG,SGD,Singapore Exchange,5557.0,,,1.0,3655633.0,4.13,0.6694562,15097764.0,10107292.0,0.0100793,2015-02-27,8270176.35,20675440.875,PASS,0.010187223219979733,1.0,3684543
39,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,557955,FI0009007132,5579550,FUM1V.HE,,FORTUM,FI,EUR,OMX (FI),7535.0,,,1.0,499009.0,20.25,1.0,10104932.0,10104932.0,0.010077000000000001,2015-02-27,36510421.95,91276054.875,PASS,0.01018489859293163,1.0,502958
40,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,685085,AU000000SGP0,6850856,SGP.AX,,Stockland,AU,AUD,ASX,8673.0,,,1.0,3068282.0,4.56,0.7181588,13991366.0,10048022.0,0.0100202,2015-02-27,22469104.11,56172760.275,PASS,0.010127490411917586,1.0,3092548
41,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,401632,DE0008404005,5231485,ALVG.DE,,ALLIANZ,DE,EUR,XETRA (DE),8532.0,,,1.0,61209.0,160.1,1.0,9799561.0,9799561.0,0.0097725,2015-02-27,266297344.55,665743361.375,PASS,0.009877138185910921,1.0,61694
42,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,B0PB4M,HK0823032773,B0PB4M7,0823.HK,,Link Real Estate Investment Tr,HK,HKD,Hong Kong Stock Exchange,8672.0,,,1.0,1722113.0,47.3,0.118008,81455945.0,9612453.0,0.009585900000000001,2015-02-27,32201993.05,80504982.625,PASS,0.009688540182790842,1.0,1735744
43,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,591264,CH0018294154,B012877,PSPN.S,,PSP SWISS PROPERTY,CH,CHF,SIX Swiss Exchange,8633.0,,,1.0,107939.0,94.05,0.9464769,10151663.0,9608314.0,0.0095817,2015-02-27,9359837.42,23399593.55,PASS,0.00968429521165952,1.0,108793
44,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,643532,HK0006000050,6435327,0006.HK,,POWER ASSETS HOLDINGS LTD,HK,HKD,Hong Kong Stock Exchange,7535.0,,,1.0,1049353.0,75.75,0.118008,79488490.0,9380278.0,0.0093543,2015-02-27,20943955.16,52359887.9,PASS,0.009454460346120902,1.0,1057652
45,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,634295,NZFBUE0001S0,6341606,FBU.NZ,,Fletcher Building Ltd.,NZ,NZD,NZX,2353.0,,,1.0,1516557.0,8.85,0.6975691,13421529.0,9362444.0,0.0093365,2015-02-27,8073332.34,20183330.85,PASS,0.009436469754183403,1.0,1528548
46,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,RCI.B,CA7751092007,2169051,RCIb.TO,,Rogers Communications Inc. Cl,CA,CAD,Toronto Stock Exchange,6575.0,,,1.0,287524.0,44.01,0.7312081,12653931.0,9252657.0,0.0092271,2015-02-27,30819770.16,77049425.4,PASS,0.009325898363286636,1.0,289800
47,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,B00D9P,BE0003810273,B00D9P6,BCOM.BR,,BELGACOM,BE,EUR,EURONEXT (BE),6535.0,,,1.0,290204.0,31.725,1.0,9206722.0,9206722.0,0.0091813,2015-02-27,22796990.14,56992475.35,PASS,0.009279607963807003,1.0,292501
48,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,217052,CA1360691010,2170525,CM.TO,,Canadian Imperial Bank of Comm,CA,CAD,Toronto Stock Exchange,8355.0,,,1.0,134589.0,93.05,0.7312081,12523506.0,9157289.0,0.009132,2015-02-27,92989756.63,232474391.575,PASS,0.009229780088384602,1.0,135654
49,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,686774,HK0019000162,6867748,0019.HK,,Swire Pacific Ltd. A,HK,HKD,Hong Kong Stock Exchange,2727.0,,,1.0,764459.0,100.8,0.118008,77057467.0,9093398.0,0.0090682,2015-02-27,12570528.88,31426322.2,PASS,0.009165296955485026,1.0,770503
50,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,B15F66,TH0902010014,B15F664,TBEV.SI,,Thai Beverage PCL,SG,SGD,Singapore Exchange,3533.0,,,1.0,18047704.0,0.75,0.6694562,13535778.0,9061611.0,0.0090365,2015-02-27,6972401.49,17431003.725,PASS,0.00913325753051768,1.0,18190401
51,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,481334,SE0000148884,4813345,SEBa.ST,,SKANDINAVISKA ENSKILDA BK A,SE,SEK,OMX (SE),8355.0,,,1.0,760232.0,110.2,0.1076519,83777566.0,9018814.0,0.0089939,2015-02-27,53777172.64,134442931.6,PASS,0.009090201394757148,1.0,766250
52,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,461075,DE0008430026,5294121,MUVGn.DE,,MUENCHENER RUECK,DE,EUR,XETRA (DE),8538.0,,,1.0,44512.0,200.85,1.0,8940235.0,8940235.0,0.0089155,2015-02-27,116562611.9,291406529.75,PASS,0.009010961933639173,1.0,44864
53,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,PPL,US69351T1060,2680905,PPL.N,,PPL Corp.,US,USD,New York Stock Exchange,7535.0,,,1.0,285458.0,34.16,0.9152062,9751245.0,8924400.0,0.0088997,2015-02-27,133229937.1,333074842.75,PASS,0.008994992756526111,1.0,287716
54,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,SO,US8425871071,2829601,SO.N,,Southern Co.,US,USD,New York Stock Exchange,7535.0,,,1.0,215057.0,45.17,0.9152062,9714125.0,8890427.0,0.0088658,2015-02-27,236860596.98,592151492.45,PASS,0.008960729775251884,1.0,216758
55,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,656835,BMG668971101,6568353,0659.HK,,NWS HOLDINGS,HK,HKD,Hong Kong Stock Exchange,2357.0,,,1.0,5960472.0,12.6,0.118008,75101947.0,8862631.0,0.0088381,2015-02-27,2041385.33,5103463.325,PASS,0.005103463325,1.0,3432282
56,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,P,US20825C1045,2685717,COP.N,,ConocoPhillips,US,USD,New York Stock Exchange,537.0,,,1.0,152149.0,63.23,0.9152062,9620381.0,8804633.0,0.0087803,2015-02-27,523537288.08,1308843220.2,PASS,0.008874314291507153,1.0,153353
57,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,479736,FR0010411983,B1LB9P6,SCOR.PA,,SCOR,FR,EUR,EURONEXT (FR),8538.0,,,1.0,283493.0,31.02,1.0,8793953.0,8793953.0,0.008769599999999999,2015-02-27,10802716.31,27006790.775,PASS,0.008863499722196407,1.0,285735
58,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,NA,CA6330671034,2077303,NA.TO,,National Bank of Canada,CA,CAD,Toronto Stock Exchange,8355.0,,,1.0,254275.0,47.28,0.7312081,12022122.0,8790673.0,0.0087664,2015-02-27,48520874.92,121302187.3,PASS,0.008860265458477309,1.0,256288
59,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,654362,AU000000SYD9,B70DWB2,SYD.AX,,SYDNEY AIRPORT,AU,AUD,ASX,2777.0,,,1.0,2329275.0,5.25,0.7181588,12228694.0,8782144.0,0.008757899999999999,2015-02-27,15753565.37,39383913.425,PASS,0.008851674445473445,1.0,2347716
60,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,636586,AU000000GPT8,6365866,GPT.AX,,GPT Group,AU,AUD,ASX,8672.0,,,1.0,2597498.0,4.68,0.7181588,12156291.0,8730147.0,0.008706,2015-02-27,17527953.54,43819883.85,PASS,0.008799218730779277,1.0,2618049
61,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,BEL,US92343V1044,2090571,VZ.N,,Verizon Communications Inc.,US,USD,New York Stock Exchange,6535.0,,,1.0,190307.0,49.64,0.9152062,9446839.0,8645806.0,0.0086219,2015-02-27,750133658.77,1875334146.925,PASS,0.008714218237411652,1.0,191813
62,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,BMO,CA0636711016,2076009,BMO.TO,,Bank of Montreal,CA,CAD,Toronto Stock Exchange,8355.0,,,1.0,152765.0,76.41,0.7312081,11672774.0,8535227.0,0.008511600000000001,2015-02-27,92226263.21,230565658.025,PASS,0.008602737209843888,1.0,153973
63,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,691678,SG1M31001969,6916781,UOBH.SI,,United Overseas Bank Ltd.,SG,SGD,Singapore Exchange,8355.0,,,1.0,552781.0,23.0,0.6694562,12713963.0,8511441.0,0.0084879,2015-02-27,32733247.28,81833118.2,PASS,0.008578783444174296,1.0,557155
64,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,HP,US4234521015,2420101,HP.N,,Helmerich & Payne Inc.,US,USD,New York Stock Exchange,573.0,,,1.0,135109.0,68.51,0.9152062,9256318.0,8471439.0,0.008448,2015-02-27,145764897.93,364412244.825,PASS,0.008538456218426756,1.0,136178
65,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,626551,SG1L01001701,6175203,DBSM.SI,,DBS Group Holdings Ltd.,SG,SGD,Singapore Exchange,8355.0,,,1.0,623678.0,20.21,0.6694562,12604532.0,8438182.0,0.0084148,2015-02-27,49814044.55,124535111.375,PASS,0.008504900732341081,1.0,628609
66,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,SCL.B,CA82028K2002,2801836,SJRb.TO,,Shaw Communications Inc. Cl B,CA,CAD,Toronto Stock Exchange,5553.0,,,1.0,401414.0,28.44,0.7312081,11416214.0,8347628.0,0.0083245,2015-02-27,21212327.13,53030817.825,PASS,0.008413633853017698,1.0,404588
67,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,ETR,US29364G1031,2317087,ETR.N,,Entergy Corp.,US,USD,New York Stock Exchange,7535.0,,,1.0,114148.0,78.49,0.9152062,8959477.0,8199768.0,0.0081771,2015-02-27,117199500.35,292998750.875,PASS,0.008264655580456606,1.0,115051
