STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;US92343V1044;20230320;281420;1
;;US20825C1045;20230320;108695;1
;;AU000000NAB4;20230320;556172;1
;;DE0005190037;20230320;106589;1
;;NL0011872643;20230320;252949;1
;;HK0016000132;20230320;754282;1
;;IT0003153415;20230320;1957325;1
;;FR0000064578;20230320;164164;1
;;CA0641491075;20230320;204730;1
;;BE0974264930;20230320;234971;1
;;JP3381000003;20230320;428665;1
;;SG1M31001969;20230320;454591;1
;;NZCENE0001S6;20230320;1888181;1
;;SG1L01001701;20230320;387075;1
;;CH0012214059;20230320;149540;1
;;IT0003796171;20230320;908767;1
;;DE000EVNK013;20230320;436222;1
;;SG1T75931496;20230320;4900521;1
;;US25278X1090;20230320;69661;1
;;KYG9828G1082;20230320;5065590;1
;;CA1360691010;20230320;208923;1
;;JP3768600003;20230320;749512;1
;;US88579Y1010;20230320;80721;1
;;CA7392391016;20230320;331482;1
;;CA56501R1064;20230320;461602;1
;;FR0000131104;20230320;145934;1
;;US4592001014;20230320;61882;1
;;AU000000SUN6;20230320;990085;1
;;DE0008404005;20230320;35074;1
;;US4601461035;20230320;214795;1
;;JP3386030005;20230320;611135;1
;;NL0009434992;20230320;83200;1
;;CH0011075394;20230320;16017;1
;;US8425871071;20230320;102203;1
;;CA0636711016;20230320;79539;1
;;CA8667961053;20230320;150552;1
;;US26441C2044;20230320;69231;1
;;US92556H2067;20230320;328609;1
;;US29364G1031;20230320;61866;1
;;IE00BKVD2N49;20230320;104877;1
;;US0865161014;20230320;81998;1
;;US7170811035;20230320;156684;1
;;US31620R3030;20230320;189644;1
;;CA8911605092;20230320;111340;1
;;US7185461040;20230320;61929;1
;;US2091151041;20230320;60753;1
;;CA7800871021;20230320;62525;1
;;US0311621009;20230320;24914;1
;;US3755581036;20230320;72170;1
;;US2058871029;20230320;158066;1
;;CA6330671034;20230320;80851;1
;;US40434L1052;20230320;195061;1
;;US1746101054;20230320;172112;1
;;CA7751092007;20230320;113245;1
;;US89832Q1094;20230320;162807;1
;;US9029733048;20230320;145449;1
;;US4932671088;20230320;426707;1
;;US8168511090;20230320;32888;1
;;US4461501045;20230320;450492;1
;;US74251V1026;20230320;55404;1
;;KYG8187G1055;20240318;16478150;1
;;AU000000YAL0;20240318;6402754;1
;;AU000000NHC7;20240318;6654213;1
;;NL0011540547;20240318;1191661;1
;;KYG9828G1082;20240318;16080113;1
;;GB0005603997;20240318;5845265;1
;;HK0012000102;20240318;6401474;1
;;GB0005405286;20240318;2343377;1
;;NL0011821202;20240318;1145173;1
;;AU000000FMG4;20240318;1050286;1
;;PLPKN0000018;20240318;1024838;1
;;AU0000224040;20240318;812702;1
;;NO0010345853;20240318;625123;1
;;GB0008782301;20240318;8777785;1
;;KYG960071028;20240318;23215842;1
;;GB00BM8PJY71;20240318;5008425;1
;;GB00B06QFB75;20240318;1625134;1
;;NL0010773842;20240318;335547;1
;;GB0007188757;20240318;238325;1
;;FR0000131104;20240318;220208;1
;;KYG2177B1014;20240318;3112451;1
;;FR0013269123;20240318;391176;1
;;AU000000BEN6;20240318;2208043;1
;;SG1M31001969;20240318;647006;1
;;DE0005190037;20240318;128516;1
;;DK0010311471;20240318;242344;1
;;BE0974264930;20240318;310645;1
;;SG1L01001701;20240318;513372;1
;;HK0006000050;20240318;2235523;1
;;NL0011872643;20240318;279714;1
;;HK0016000132;20240318;1319483;1
;;IT0003796171;20240318;983585;1
;;DE000KSAG888;20240318;885708;1
;;HK0000608585;20240318;10368087;1
;;SE0005190238;20240318;1476283;1
;;DE0007100000;20240318;151061;1
;;SG1M51904654;20240318;8334406;1
;;FR0000045072;20240318;820796;1
;;FR0000133308;20240318;1000250;1
;;AU000000RIO1;20240318;149272;1
;;DE0007664039;20240318;91131;1
;;AU000000NAB4;20240318;490262;1
;;CA0641491075;20240318;217680;1
;;US92343V1044;20240318;265511;1
;;SG1T75931496;20240318;5675440;1
